2020-06-19 12:19:19.420 MSK [4216] СООБЩЕНИЕ:  система БД была выключена: 2020-06-19 12:18:41 MSK
2020-06-19 12:19:19.615 MSK [4012] СООБЩЕНИЕ:  система БД готова принимать подключения
2020-06-19 12:28:21.286 MSK [5496] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:21.355 MSK [6896] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:41.207 MSK [6644] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:41.235 MSK [2272] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:41.331 MSK [4332] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:41.357 MSK [3672] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:54.072 MSK [5408] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:54.099 MSK [6840] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:54.172 MSK [2388] ВАЖНО:  база данных "data" не существует
2020-06-19 12:28:54.198 MSK [1460] ВАЖНО:  база данных "data" не существует
2020-06-19 12:34:09.162 MSK [3840] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.162 MSK [6032] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.163 MSK [1612] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.163 MSK [7068] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.164 MSK [4004] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.165 MSK [532] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.162 MSK [5256] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.163 MSK [5944] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.166 MSK [6588] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:09.166 MSK [3472] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:16.681 MSK [1456] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-06-19 12:34:18.941 MSK [4012] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2020-06-19 12:34:19.088 MSK [4012] СООБЩЕНИЕ:  прерывание всех активных транзакций
2020-06-19 12:34:19.136 MSK [4296] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2020-06-19 12:34:19.153 MSK [4012] СООБЩЕНИЕ:  фоновый процесс "logical replication launcher" (PID 4296) завершился с кодом выхода 1
2020-06-19 12:34:19.155 MSK [4256] СООБЩЕНИЕ:  выключение
2020-06-19 12:34:23.622 MSK [4012] СООБЩЕНИЕ:  система БД выключена
